sku_id,client_id,sku_name,category,unit_weight_kg,storage_type,unit_cost
SKU-1135,CLT-105,Microfiber Detailing Towel (Variant A),Automotive,4.62,Ambient,142.71
SKU-1136,CLT-105,Synthetic Motor Oil 5L (Variant B),Automotive,10.16,Ambient,367.4
SKU-1137,CLT-105,Brake Pad Set Front (Variant B),Automotive,10.86,Ambient,412.26
SKU-1138,CLT-105,Heavy Duty Car Battery (Variant B),Automotive,6.49,Ambient,233.16
SKU-1139,CLT-105,LED Headlight Bulb H7 (Variant B),Automotive,10.02,Ambient,297.73
SKU-1140,CLT-105,Microfiber Detailing Towel (Variant B),Automotive,8.83,Ambient,361.17
SKU-1141,CLT-105,Synthetic Motor Oil 5L (Variant C),Automotive,11.15,Ambient,162.03
SKU-1142,CLT-105,Brake Pad Set Front (Variant C),Automotive,4.82,Ambient,55.88
SKU-1143,CLT-105,Heavy Duty Car Battery (Variant C),Automotive,7.31,Ambient,30.63
SKU-1144,CLT-105,LED Headlight Bulb H7 (Variant C),Automotive,5.93,Ambient,251.05
SKU-1145,CLT-105,Microfiber Detailing Towel (Variant C),Automotive,3.72,Ambient,272.01
SKU-1146,CLT-105,Synthetic Motor Oil 5L (Variant D),Automotive,0.58,Ambient,31.25
SKU-1147,CLT-105,Brake Pad Set Front (Variant D),Automotive,10.32,Ambient,171.68
SKU-1148,CLT-105,Heavy Duty Car Battery (Variant D),Automotive,1.76,Ambient,242.18
SKU-1149,CLT-105,LED Headlight Bulb H7 (Variant D),Automotive,9.67,Ambient,108.88
SKU-1150,CLT-105,Microfiber Detailing Towel (Variant D),Automotive,7.86,Ambient,52.13
SKU-1151,CLT-106,Argan Oil Hair Serum (Variant A),Beauty & Care,0.84,Temperature-Controlled,246.14
SKU-1152,CLT-106,Hyaluronic Face Cream (Variant A),Beauty & Care,6.85,Ambient,292.28
SKU-1153,CLT-106,Matte Lipstick Coral (Variant A),Beauty & Care,9.13,Temperature-Controlled,439.5
SKU-1154,CLT-106,Organic Sunscreen SPF50 (Variant A),Beauty & Care,6.55,Ambient,155.49
SKU-1155,CLT-106,Exfoliating Scrub (Variant A),Beauty & Care,9.98,Temperature-Controlled,132.81
SKU-1156,CLT-106,Argan Oil Hair Serum (Variant B),Beauty & Care,5.6,Ambient,49.13
SKU-1157,CLT-106,Hyaluronic Face Cream (Variant B),Beauty & Care,0.51,Temperature-Controlled,433.75
SKU-1158,CLT-106,Matte Lipstick Coral (Variant B),Beauty & Care,10.48,Ambient,317.75
SKU-1159,CLT-106,Organic Sunscreen SPF50 (Variant B),Beauty & Care,5.23,Temperature-Controlled,90.38
SKU-1160,CLT-106,Exfoliating Scrub (Variant B),Beauty & Care,2.12,Ambient,123.86
SKU-1161,CLT-106,Argan Oil Hair Serum (Variant C),Beauty & Care,6.96,Temperature-Controlled,325.85
SKU-1162,CLT-106,Hyaluronic Face Cream (Variant C),Beauty & Care,8.32,Ambient,136.77
SKU-1163,CLT-106,Matte Lipstick Coral (Variant C),Beauty & Care,11.94,Temperature-Controlled,335.99
SKU-1164,CLT-106,Organic Sunscreen SPF50 (Variant C),Beauty & Care,7.02,Ambient,281.1
SKU-1165,CLT-106,Exfoliating Scrub (Variant C),Beauty & Care,5.36,Temperature-Controlled,122.76
SKU-1166,CLT-106,Argan Oil Hair Serum (Variant D),Beauty & Care,4.58,Ambient,344.66
SKU-1167,CLT-106,Hyaluronic Face Cream (Variant D),Beauty & Care,0.38,Temperature-Controlled,65.49
SKU-1168,CLT-106,Matte Lipstick Coral (Variant D),Beauty & Care,0.77,Ambient,32.72
SKU-1169,CLT-106,Organic Sunscreen SPF50 (Variant D),Beauty & Care,10.72,Temperature-Controlled,321.09
SKU-1170,CLT-106,Exfoliating Scrub (Variant D),Beauty & Care,6.03,Ambient,57.56
SKU-1171,CLT-106,Argan Oil Hair Serum (Variant E),Beauty & Care,6.25,Temperature-Controlled,220.96
SKU-1172,CLT-106,Hyaluronic Face Cream (Variant E),Beauty & Care,2.33,Ambient,203.73
SKU-1173,CLT-107,Organic Olive Oil 1L (Variant A),E-Commerce Grocery,5.1,Temperature-Controlled,282.89
SKU-1174,CLT-107,Premium Dates Box 1kg (Variant A),E-Commerce Grocery,8.01,Ambient,34.71
SKU-1175,CLT-107,Arabica Coffee Beans 500g (Variant A),E-Commerce Grocery,4.81,Temperature-Controlled,287.25
SKU-1176,CLT-107,Basmati Rice Reserve 5kg (Variant A),E-Commerce Grocery,6.39,Ambient,387.57
SKU-1177,CLT-107,Raw Honey Jar (Variant A),E-Commerce Grocery,8.3,Temperature-Controlled,85.88
SKU-1178,CLT-107,Organic Olive Oil 1L (Variant B),E-Commerce Grocery,1.07,Ambient,294.45
SKU-1179,CLT-107,Premium Dates Box 1kg (Variant B),E-Commerce Grocery,0.53,Temperature-Controlled,269.81
SKU-1180,CLT-107,Arabica Coffee Beans 500g (Variant B),E-Commerce Grocery,11.76,Ambient,265.33
SKU-1181,CLT-107,Basmati Rice Reserve 5kg (Variant B),E-Commerce Grocery,4.97,Temperature-Controlled,294.83
SKU-1182,CLT-107,Raw Honey Jar (Variant B),E-Commerce Grocery,5.84,Ambient,252.34
SKU-1183,CLT-107,Organic Olive Oil 1L (Variant C),E-Commerce Grocery,11.78,Temperature-Controlled,182.95
SKU-1184,CLT-107,Premium Dates Box 1kg (Variant C),E-Commerce Grocery,12.02,Ambient,408.83
SKU-1185,CLT-107,Arabica Coffee Beans 500g (Variant C),E-Commerce Grocery,2.61,Temperature-Controlled,45.17
SKU-1186,CLT-107,Basmati Rice Reserve 5kg (Variant C),E-Commerce Grocery,1.44,Ambient,22.93
SKU-1187,CLT-107,Raw Honey Jar (Variant C),E-Commerce Grocery,1.36,Temperature-Controlled,312.11
SKU-1188,CLT-107,Organic Olive Oil 1L (Variant D),E-Commerce Grocery,1.08,Ambient,153.75
SKU-1189,CLT-107,Premium Dates Box 1kg (Variant D),E-Commerce Grocery,10.59,Temperature-Controlled,25.12
SKU-1190,CLT-107,Arabica Coffee Beans 500g (Variant D),E-Commerce Grocery,10.22,Ambient,137.61
SKU-1191,CLT-107,Basmati Rice Reserve 5kg (Variant D),E-Commerce Grocery,1.65,Temperature-Controlled,318.08
SKU-1192,CLT-107,Raw Honey Jar (Variant D),E-Commerce Grocery,7.94,Ambient,396.7
SKU-1193,CLT-107,Organic Olive Oil 1L (Variant E),E-Commerce Grocery,9.24,Temperature-Controlled,364.51
SKU-1194,CLT-107,Premium Dates Box 1kg (Variant E),E-Commerce Grocery,3.67,Ambient,92.19
SKU-1195,CLT-107,Arabica Coffee Beans 500g (Variant E),E-Commerce Grocery,9.43,Temperature-Controlled,365.97
SKU-1196,CLT-107,Basmati Rice Reserve 5kg (Variant E),E-Commerce Grocery,12.38,Ambient,194.49
SKU-1197,CLT-107,Raw Honey Jar (Variant E),E-Commerce Grocery,4.78,Temperature-Controlled,352.74
SKU-1198,CLT-108,Adjustable Dumbbell 20kg (Variant A),Sporting Goods,4.39,Ambient,419.88
SKU-1199,CLT-108,Yoga Mat Non-Slip (Variant A),Sporting Goods,10.76,Ambient,201.61
SKU-1200,CLT-108,Hydration Backpack 2L (Variant A),Sporting Goods,9.44,Ambient,343.23
SKU-1201,CLT-108,Resistance Bands Set (Variant A),Sporting Goods,1.47,Ambient,407.61
SKU-1202,CLT-108,Jump Rope Speed Pro (Variant A),Sporting Goods,6.41,Ambient,374.51
SKU-1203,CLT-108,Adjustable Dumbbell 20kg (Variant B),Sporting Goods,4.14,Ambient,404.55
SKU-1204,CLT-108,Yoga Mat Non-Slip (Variant B),Sporting Goods,4.99,Ambient,19.71
SKU-1205,CLT-108,Hydration Backpack 2L (Variant B),Sporting Goods,11.34,Ambient,54.71
SKU-1206,CLT-108,Resistance Bands Set (Variant B),Sporting Goods,4.13,Ambient,428.28
SKU-1207,CLT-108,Jump Rope Speed Pro (Variant B),Sporting Goods,11.89,Ambient,264.45
SKU-1208,CLT-108,Adjustable Dumbbell 20kg (Variant C),Sporting Goods,7.97,Ambient,210.07
SKU-1209,CLT-108,Yoga Mat Non-Slip (Variant C),Sporting Goods,3.81,Ambient,157.97
SKU-1210,CLT-109,4-Person Dome Tent (Variant A),Outdoor Retail,8.47,Ambient,342.28
SKU-1211,CLT-109,Thermal Sleeping Bag (Variant A),Outdoor Retail,9.94,Ambient,358.48
SKU-1212,CLT-109,Portable Gas Stove (Variant A),Outdoor Retail,1.32,Ambient,230.07
SKU-1213,CLT-109,Camping Lantern 1000lm (Variant A),Outdoor Retail,0.91,Ambient,254.05
SKU-1214,CLT-109,Trekking Poles Pair (Variant A),Outdoor Retail,5.63,Ambient,401.15
SKU-1215,CLT-109,4-Person Dome Tent (Variant B),Outdoor Retail,4.52,Ambient,65.92
SKU-1216,CLT-109,Thermal Sleeping Bag (Variant B),Outdoor Retail,1.96,Ambient,346.26
SKU-1217,CLT-109,Portable Gas Stove (Variant B),Outdoor Retail,7.8,Ambient,58.99
SKU-1218,CLT-110,RGB Mechanical Keyboard (Variant A),Electronics,1.23,High-Value Secured,319.92
SKU-1219,CLT-110,Gaming Mouse 16000DPI (Variant A),Electronics,1.09,Ambient,372.51
SKU-1220,CLT-110,Surround Sound Headset (Variant A),Electronics,8.89,Ambient,50.39
SKU-1221,CLT-110,Streamer Condenser Mic (Variant A),Electronics,1.24,High-Value Secured,444.19
SKU-1222,CLT-110,Dual Controller Charger (Variant A),Electronics,4.8,Ambient,176.23
SKU-1223,CLT-110,RGB Mechanical Keyboard (Variant B),Electronics,10.2,Ambient,427.05
SKU-1224,CLT-110,Gaming Mouse 16000DPI (Variant B),Electronics,12.33,High-Value Secured,342.72
SKU-1225,CLT-110,Surround Sound Headset (Variant B),Electronics,4.83,Ambient,51.32
